"sample","Group","shannon","observed","simpson"
"J_XYL_F_0001_01","IBS_before",1.09890502290454,10,0.527987681268836
"J_XYL_F_0001_02","IBS_after",1.1299418515666,29,0.522655977274624
"J_XYL_F_0002_01","IBS_before",2.04095138667223,21,0.767599174955928
"J_XYL_F_0002_02","IBS_after",2.00835559620998,34,0.748699225055703
"J_XYL_F_0003_01","IBS_before",1.97270956436747,13,0.795906810158775
"J_XYL_F_0003_02","IBS_after",1.43506932080144,25,0.632008155275192
"J_XYL_F_0004_01","IBS_before",1.75684552025081,18,0.70765906394349
"J_XYL_F_0004_02","IBS_after",1.56840095588604,31,0.653608041081307
"J_XYL_F_0005_01","IBS_before",1.48616811757701,18,0.654180733105589
"J_XYL_F_0005_02","IBS_after",1.86782546107928,22,0.747509046529686
"J_XYL_F_0006_01","IBS_before",1.11169243677385,10,0.540205851307469
"J_XYL_F_0006_02","IBS_after",1.2314115357449,7,0.644245403295036
"J_XYL_F_0010_01","IBS_before",1.7451344428083,25,0.694610605972138
"J_XYL_F_0010_02","IBS_after",1.66059650857611,34,0.590832068557223
"J_XYL_F_0012_01","IBS_before",1.47900691610761,18,0.618340677863138
"J_XYL_F_0012_02","IBS_after",1.40042833870575,29,0.535383877278631
"J_XYL_F_0013_01","IBS_before",1.54406602397677,24,0.648742849572144
"J_XYL_F_0013_02","IBS_after",0.889411647006415,18,0.418434226418608
"J_XYL_F_0015_01","IBS_before",1.75121440288207,15,0.760710355274295
"J_XYL_F_0015_02","IBS_after",1.78670813405362,18,0.741850787116182
"J_XYL_F_0016_01","IBS_before",2.11632755493042,24,0.792933078875308
"J_XYL_F_0016_02","IBS_after",1.86664680529361,25,0.748405223720835
"J_XYL_F_0018_01","IBS_before",1.83768295754227,27,0.699723586989569
"J_XYL_F_0018_02","IBS_after",1.65402293235389,11,0.74509425034464
"J_XYL_F_0020_01","IBS_before",1.75880799793318,21,0.68530028294739
"J_XYL_F_0020_02","IBS_after",1.90035604251381,21,0.753173620220343
"J_XYL_F_0025_01","IBS_before",1.80554750059096,16,0.755293497148467
"J_XYL_F_0025_02","IBS_after",2.03239134422943,32,0.761447394987615
"J_XYL_F_0031_01","IBS_before",1.5462890883074,29,0.57414599854449
"J_XYL_F_0031_02","IBS_after",1.30669664118504,22,0.553676447713446
"J_XYL_F_0032_01","IBS_before",2.32744092349474,29,0.859392711051258
"J_XYL_F_0032_02","IBS_after",2.119060758358,28,0.77114564733791
"J_XYL_F_0034_01","IBS_before",1.9076965443924,24,0.741749214697933
"J_XYL_F_0034_02","IBS_after",1.33284810749333,24,0.578048700411666
"J_XYL_F_0036_01","IBS_before",1.83247265634182,19,0.771447922700981
"J_XYL_F_0036_02","IBS_after",1.72670989560444,17,0.756775685220654
"J_XYL_F_0043_01","IBS_before",1.91719195099435,31,0.720903909289419
"J_XYL_F_0043_2","IBS_after",1.63850155263679,10,0.770994771920696
"J_XYL_F_0044_01","IBS_before",1.38179276117751,9,0.66630675423608
"J_XYL_F_0044_02","IBS_after",1.39853522064292,13,0.661402129144587
"J_XYL_F_0045_01","IBS_before",0.655159576236833,10,0.291327997741516
"J_XYL_F_0045_2","IBS_after",0.927677549544615,26,0.330101061600612
"J_XYL_F_0046_01","IBS_before",2.13556954075626,33,0.765899370890581
"J_XYL_F_0046_02","IBS_after",1.63781822032545,22,0.697769541524024
"J_XYL_F_0047_01","IBS_before",1.47304303130782,31,0.63885865772086
"J_XYL_F_0047_02","IBS_after",1.86641660039728,24,0.739856124053617
"J_XYL_F_0048_01","IBS_before",0.656374366532107,15,0.278750381228934
"J_XYL_F_0049_02","IBS_after",1.8966422719736,19,0.762144188859161
"J_XYL_F_0050_01","IBS_before",1.27283138915467,27,0.517734986977785
"J_XYL_F_0050_02","IBS_after",0.466389615236211,2,0.290985434007134
"J_XYL_F_0051_01","IBS_before",1.14615656895328,18,0.516637600493771
"J_XYL_F_0051_02","IBS_after",1.84443620776095,19,0.689709277436279
"J_XYL_F_0053_01","IBS_before",2.04550515073511,32,0.779456250479871
"J_XYL_F_0053_02","IBS_after",2.02943461408936,27,0.773526735484546
"J_XYL_F_0057_01","IBS_before",1.33934383924369,7,0.65180181885232
"J_XYL_F_0057_02","IBS_after",1.78103203391449,25,0.748930389912925
"J_XYL_F_0058_01","IBS_before",1.44423235168584,19,0.609346257996519
"J_XYL_F_0058_02","IBS_after",1.94497522703884,25,0.771668367554294
"J_XYL_F_0059_01","IBS_before",2.0850031560377,28,0.758121806783841
"J_XYL_F_0059_02","IBS_after",1.92296895054333,22,0.752205332401524
"J_XYL_F_0060_01","IBS_before",1.91384576778703,26,0.763791029512115
"J_XYL_F_0060_02","IBS_after",1.29706200877894,26,0.519943921013385
"J_XYL_F_0061_01","IBS_before",1.44351989279138,19,0.557622963338622
"J_XYL_F_0061_02","IBS_after",1.85664302977301,22,0.700918416030534
"J_XYL_F_0062_01","IBS_before",2.12752994249818,32,0.742967174606893
"J_XYL_F_0062_02","IBS_after",1.61070764919289,27,0.632902917229872
"J_XYL_F_0064_01","IBS_before",1.25283653789328,33,0.490323847568518
"J_XYL_F_0064_02","IBS_after",1.19818226862325,16,0.538498218046231
"J_XYL_F_0065_01","IBS_before",1.81309085153133,24,0.721555037250462
"J_XYL_F_0065_02","IBS_after",1.77391428102249,25,0.692891001495314
"J_XYL_F_0066_01","IBS_before",1.67332526989754,15,0.719145324519423
"J_XYL_F_0066_02","IBS_after",1.50724111617885,22,0.650962805038725
"K_XYL_F_0001_01","UC_before",1.25382073830417,13,0.598133498438426
"K_XYL_F_0001_02","UC_after",0.74399276056263,11,0.402671940112293
"K_XYL_F_0002_01","UC_before",0.888053305802173,19,0.376016725015305
"K_XYL_F_0002_02","UC_after",1.03652319294281,13,0.538037805578338
"K_XYL_F_0003_01","UC_before",1.43957680249928,16,0.641094693928625
"K_XYL_F_0003_02","UC_after",1.19765391060851,18,0.486626068636929
"K_XYL_F_0004_01","UC_before",0.941463195309767,9,0.503627885725352
"K_XYL_F_0004_02","UC_after",0.975927511790262,12,0.519690797791304
"K_XYL_F_0005_01","UC_before",1.98977024337278,18,0.767290454452249
"K_XYL_F_0005_02","UC_after",1.30180247580727,20,0.485886804362825
"K_XYL_F_0007_01","UC_before",1.63351016758333,16,0.698994268874325
"K_XYL_F_0007_02","UC_after",1.53096585445423,10,0.729968788475243
"K_XYL_F_0008_01","UC_before",1.72695337956737,20,0.749633910884682
"K_XYL_F_0008_02","UC_after",1.6062645163449,15,0.697547169284039
"K_XYL_F_0009_01","UC_before",1.95296920379439,14,0.783403863645632
"K_XYL_F_0009_02","UC_after",1.85516230576827,31,0.71259726707754
"K_XYL_F_0011_01","UC_before",1.77249052410456,22,0.708641969874902
"K_XYL_F_0011_02","UC_after",1.73074605011531,18,0.673026117609357
"K_XYL_F_0012_01","UC_before",1.61746523225857,18,0.651908487146235
"K_XYL_F_0012_02","UC_after",1.57816215924755,23,0.659917606849566
"K_XYL_F_0013_01","UC_before",1.0266675907683,11,0.47650049398299
"K_XYL_F_0013_02","UC_after",1.57920976587808,26,0.690260541543624
"K_XYL_F_0017_01","UC_before",1.6170328028326,33,0.608942389666555
"K_XYL_F_0017_02","UC_after",1.58425946259138,32,0.66316994149891
"K_XYL_F_0018_01","UC_before",1.9285730010713,23,0.785088510793096
"K_XYL_F_0018_02","UC_after",1.41106534050202,14,0.659059928451589
"K_XYL_F_0022_01","UC_before",1.58995368728984,19,0.604117129178219
"K_XYL_F_0022_02","UC_after",1.94644474388124,32,0.757157798023768
"K_XYL_F_0028_01","UC_before",1.58528611967501,12,0.726814627896251
"K_XYL_F_0028_02","UC_after",1.34479116358998,16,0.519896198776091
