"genus","mean_rel_before","mean_rel_after","log2fc_rel","cliffs_delta","p","q"
"s__reuteri",0.000111585944919278,0.0021631480503613,4.26470055834297,-0.224537037037037,0.00660762796171755,0.415662156936402
"s__fragi",0,0.000587698640090839,9.20138548476619,-0.166666666666667,0.0115461710260112,0.415662156936402
"s__animalis",1.96813232067846e-05,0.000769253317917433,5.21893259333872,-0.202160493827161,0.0188912062149588,0.453388949159012
"s__muciniphila",0.0101212478376311,0.0378738456818885,1.90371030696827,-0.29320987654321,0.0309748675191192,0.454642434970365
"s__catus",0.000374833953852939,0.00113849697629732,1.60022978163781,-0.185185185185185,0.0315723913173864,0.454642434970365
"s__uniformis",0.0089598461338268,0.00444161117836716,-1.01222708534315,0.256172839506173,0.0487847355400842,0.492594289353109
"s__bromii",0.00582259495239811,0.0104759786320774,0.84724080954835,-0.229938271604938,0.0785403543054359,0.492594289353109
"s__celatum",0.000397432833853074,0,-8.63819273096877,0.0833333333333333,0.0818171623460463,0.492594289353109
"s__vaccae",0,0.000229568997674818,7.84905473091856,-0.0833333333333334,0.0818171623460463,0.492594289353109
"s__butyricum",0.00181895149556915,3.90611128866162e-05,-5.50555369135347,0.114969135802469,0.0820990482255181,0.492594289353109
"s__mucosae",1.04005458206447e-05,0.000883833240761046,6.27823078204081,-0.114969135802469,0.0820990482255181,0.492594289353109
"s__flavefaciens",3.00657839352503e-06,0.000106770109995596,4.74944258731604,-0.114969135802469,0.0820990482255181,0.492594289353109
"s__spiroforme",0.000264681564479195,0.000494226069058956,0.898389137702739,-0.132716049382716,0.0937499909799652,0.519230719273653
"s__longicatena",0.00191215257299746,0.000636399462208373,-1.58568222552055,0.160493827160494,0.132749865666556,0.667250688080867
"s__onderdonkii",0.000739187863689154,0.00149243650123695,1.01267251149806,-0.111111111111111,0.139985847475237,0.667250688080867
"s__zeae",1.92017819253627e-05,0.00022532860699505,3.4858644882256,-0.0848765432098766,0.163697549212832,0.667250688080867
"s__dispar",0.0102523754900673,0.00536973695092986,-0.932906966509704,0.175154320987654,0.178497641627241,0.667250688080867
"s__fragilis",0.00527258234954504,0.00199493435297592,-1.40171904832475,0.16358024691358,0.18447321019234,0.667250688080867
"s__gnavus",0.0260898795720524,0.0159961376635507,-0.705731791295453,0.176697530864198,0.188442854410561,0.667250688080867
"s__aerofaciens",0.0069535440531531,0.0119692237599668,0.783422282446829,-0.167438271604938,0.193513653400665,0.667250688080867
"s__ovatus",0.0115738039561886,0.00509493760130137,-1.18356824128387,0.170524691358025,0.194614784023586,0.667250688080867
"s__piscolens",0.000463489575645445,0.000816935032020216,0.816340036367613,-0.0787037037037037,0.268565478617101,0.878941566383241
"__",0.333632709766617,0.286512370808347,-0.219662596281059,0.140432098765432,0.30809036409638,0.935027192738735
"s__eutactus",0.00238804023871042,0.00116187927262237,-1.03872982597928,0.0910493827160495,0.325922184572106,0.935027192738735
"s__callidus",0.00162195423110762,0.0006850540223717,-1.24222822605002,0.100308641975309,0.329221066672706,0.935027192738735
"s__copri",0.038780687689822,0.0370239871756524,-0.0668763517719298,0.12037037037037,0.341257723424104,0.935027192738735
"s__helveticus",0.00129610817582378,0.000722073667980805,-0.843084258025879,0.0864197530864197,0.351345197376503,0.935027192738735
"s__stercorea",0.0024777113780298,0.00121009198003733,-1.0332818542935,0.0787037037037037,0.363621686065064,0.935027192738735
"s__neonatale",0.000378477039767188,0.000170884972697367,-1.14256917757255,0.0570987654320987,0.391130061448272,0.970406740152537
"s__viridiflava",0.00431710954934047,0.00350725405271562,-0.29964661927638,0.103395061728395,0.414153912328717,0.970406740152537
"s__palleronii",0.00310031836635936,0.00226398151615271,-0.453382356745057,0.0895061728395061,0.43391336657756,0.970406740152537
"s__anginosus",0.000711055965127113,0.0013160939565503,0.887295724143895,0.0509259259259258,0.445111884165646,0.970406740152537
"s__dentocariosa",0.000423055372155606,0.000216818392432671,-0.961126881464331,0.0563271604938271,0.457431940302639,0.970406740152537
"s__colinum",0.00141380608615379,0.000802049073682486,-0.817044272808395,0.0717592592592593,0.476515199189941,0.970406740152537
