"genus","mean_rel_before","mean_rel_after","log2fc_rel","wilcox_p","q"
"s__animalis",2.02436467269785e-05,0.000791231984143646,5.22081959874671,0.00915168885265007,0.30286847589344
"s__reuteri",0.000114774114774115,0.00222495228037162,4.26503803359502,0.00915168885265007,0.30286847589344
"s__muciniphila",0.010251740268014,0.0388150871461838,1.92064514165382,0.0132265807738611,0.30286847589344
"s__uniformis",0.00914443300198176,0.00456851435489194,-1.00101063308483,0.0168260264385245,0.30286847589344
"s__fragi",0,0.00060449002980772,9.24195939401244,0.0360316862182336,0.355032406955157
"s__callidus",0.00166829578056784,0.000641098102604306,-1.37837396613204,0.0366712945648324,0.355032406955157
"s__D168",0.00608402771269932,0.000700022244636656,-3.11773170407899,0.042315274905714,0.355032406955157
"s__ovatus",0.0119044840692226,0.00524050724705284,-1.18357264313163,0.0448469221298369,0.355032406955157
"s__gnavus",0.0266660395514678,0.0158814101417071,-0.747627815810855,0.0572478263429757,0.355032406955157
"s__butyricum",0.0018709215382997,4.01771446833767e-05,-5.50653236162507,0.0590582290905367,0.355032406955157
"s__mucosae",1.06977042726631e-05,0.000909085619068504,6.28170495033526,0.0591720678258594,0.355032406955157
"s__flavefaciens",3.09248063334003e-06,0.000109820684566898,4.7591077843266,0.0591720678258594,0.355032406955157
"s__catus",0.000385543495391595,0.00117102546133439,1.60030124541281,0.0972010883062347,0.523203898246177
"s__dispar",0.0105453005040692,0.00552315800667071,-0.932910519774559,0.11011812346587,0.523203898246177
"s__longicatena",0.00196678550365453,0.000654582303985756,-1.585724152154,0.116924826159794,0.523203898246177
"s__fragilis",0.00542322755953204,0.00205193247734666,-1.40173152751856,0.119150015337721,0.523203898246177
"s__eutactus",0.00245626995981643,0.00110944992557786,-1.14591202558395,0.123534253752569,0.523203898246177
"s__bromii",0.00598895480818091,0.00983340743268012,0.715293007755101,0.131865247809365,0.52746099123746
"s__pullicaecorum",0.00102124682181115,9.74329676799641e-05,-3.37645817587003,0.142213241936393,0.538913337864224
"s__formicilis",0.0116696458627428,0.0154148830994784,0.401533133519835,0.16714449994964,0.568014911127924
"s__zeae",1.97504042660873e-05,0.000231766567194908,3.48767250657441,0.177529852412153,0.568014911127924
"s__celatum",0.000408788057677447,0,-8.67873413073547,0.18144920772142,0.568014911127924
"s__vaccae",0,0.000236128111894099,7.88952289639925,0.18144920772142,0.568014911127924
"s__indistinctus",0.00152437467842052,0.00059930257625434,-1.34540189144053,0.192517572436471,0.577552717309414
"s__spiroforme",0.000272243894892887,0.000508346813889212,0.898459058907855,0.204893893816379,0.59009441419117
"s__stercorea",0.0025485031316878,0.00124466603660983,-1.03329877682145,0.23395283347059,0.647869384995479
"__",0.319092394678503,0.284840411808351,-0.163819836261148,0.26187464550398,0.694150807882277
"s__aerofaciens",0.00715221674038605,0.0116538156574729,0.704262125208818,0.269947536398663,0.694150807882277
"s__producta",0.00198917044952455,0.0011456511645549,-0.795465436803899,0.306556273379373,0.761105230459133
"s__helveticus",0.00133313983799017,0.000742704344208828,-0.84310878614735,0.326799567668966,0.761520618916633
"s__colinum",0.00145420054575818,0.000824964761501986,-0.817065851433227,0.327876933144661,0.761520618916633
"s__onderdonkii",0.000760307516937416,0.00153507754412944,1.01269981974739,0.352542137499713,0.783166769133003
"s__caccae",0.00228606976894837,0.00152355998500601,-0.58510746159212,0.358951435852626,0.783166769133003
"s__neonatale",0.000389290669474822,0.00017576740048872,-1.14269673635608,0.401678166469773,0.850612587818343
"s__dentocariosa",0.000435142668502909,0.000223013203645033,-0.961216369171077,0.446872820710831,0.919202078960156
"s__citroniae",0.00182039948631302,0.00112954203716467,-0.688032745247185,0.47719661998877,0.919202078960156
"s__mucilaginosa",0.0026995619038503,0.00470223233985497,0.800392984182159,0.484189820114981,0.919202078960156
"s__parvula",0.00218483416225406,0.00160409097992869,-0.4455288742228,0.485134430562305,0.919202078960156
"s__parainfluenzae",0.0076255166705322,0.008454841244679,0.148924018853321,0.509030913134488,0.937793612413234
"s__viridiflava",0.00429763806512715,0.00348316565342629,-0.303066426026267,0.539026540991256,0.937793612413234
"s__adolescentis",0.0344231976980876,0.0550269181578092,0.676740718162574,0.578658593387664,0.937793612413234
"s__plebeius",0.00748954062425691,0.00588025727798607,-0.348945244734357,0.588284480889313,0.937793612413234
"s__finegoldii",0.000738707651643454,0.000345184736528074,-1.09541308240637,0.589638551626567,0.937793612413234
"s__distasonis",0.00489481804889821,0.00583818953425446,0.254218198481122,0.60547906973734,0.937793612413234
"s__biforme",0.00209575660920775,0.00301344219292107,0.523731659893718,0.62406453246517,0.937793612413234
"s__ramosum",0.00182480447046716,0.00176839550978642,-0.0452757050217895,0.660346099350424,0.937793612413234
"s__breve",0.000902514108643497,0.000871112484463577,-0.0510329045716349,0.663196958194977,0.937793612413234
"s__C21_c20",0.000631255781724646,0.000551812162249742,-0.193718968450712,0.670076541385612,0.937793612413234
"s__piscolens",0.0004767321349496,0.000840276032935079,0.816377320154869,0.672603817441517,0.937793612413234
"s__dolichum",0.000258369580452288,0.00103451669030284,1.99726961533975,0.674986713970489,0.937793612413234
"s__copri",0.0398887073381026,0.0380818153806711,-0.0668764008004138,0.67661126279812,0.937793612413234
"s__obeum",0.00118183475762273,0.00150087121202606,0.344512561822082,0.683480902201426,0.937793612413234
"s__lenta",0.0010006604951225,0.000666542974713272,-0.58546097941869,0.711997145588538,0.937793612413234
"s__putredinis",0.00465234731962964,0.0029642841235583,-0.650098526361006,0.72408166091539,0.937793612413234
"s__moorei",0.00012980838489005,0.000104037910846554,-0.316544894233224,0.726286148878805,0.937793612413234
"s__longum",0.00935127599402998,0.0134197910791374,0.521080301862407,0.729395031876959,0.937793612413234
"s__perfringens",0.00047849999123159,0.000564771991308137,0.238689968641455,0.787406490666269,0.962023658157794
"s__palleronii",0.00279218369295324,0.0023286667023285,-0.26178688711965,0.793649751006546,0.962023658157794
"s__torques",0.00210896553465265,0.00277558876788898,0.39609408646329,0.801732212656982,0.962023658157794
"s__bifidum",0.000789198674372563,0.000850860920171655,0.108402480721802,0.812703686128436,0.962023658157794
"s__prausnitzii",0.036347554195159,0.0405144375804117,0.156573741786288,0.821699018187395,0.962023658157794
"s__salivarius",0.00029642123570095,0.00129597906262331,2.12457562632431,0.833935414088552,0.962023658157794
"s__costicola",6.06656170728887e-05,0.000140910512158959,1.20244324788505,0.855132140584706,0.962023658157794
"s__maritima",3.72792370182824e-05,9.03948492443633e-05,1.25555078704124,0.855132140584706,0.962023658157794
"s__yabuuchiae",0.00132921195872439,0.00128156294360578,-0.0526265161680644,0.871047368481562,0.964852469702654
"s__",0.367298078102139,0.371513724904816,0.0164641178000732,0.928219441455232,1
"s__rhizosphaerae",0.000703188890442712,0.00076899453356436,0.128885736830204,0.949944493522,1
"s__luteciae",0.000991362713503506,0.00038744642402963,-1.35315189870316,1,1
"s__anginosus",0.00073137184984503,0.00135369664102317,0.887321578685887,1,1
"s__formicigenerans",0.00593786102692821,0.0067468349615486,0.184238415589301,1,1
"s__durum",4.06605820235182e-05,6.20097253675627e-05,0.596891526734677,1,1
"s__hathewayi",0.000711093034719353,0.000655194288551571,-0.117942704295473,1,1
