"genus","mean_rel_before","mean_rel_after","log2fc_rel","wilcox_p","q"
"s__parvula",0.002127646797804,0.000415126294150402,-2.35484322882589,0.0190588916017305,0.530505325222596
"s__caccae",0.00231265188368083,0.00032971026065737,-2.80653209765351,0.0243902414330541,0.530505325222596
"s__mucilaginosa",0.00585644588386671,0.00256483509512282,-1.19084326813714,0.0253846030944281,0.530505325222596
"s__fragilis",0.00425550675814137,0.00128366371231518,-1.7282791678918,0.0463723744801877,0.530505325222596
"s__uniformis",0.00843070718054693,0.00463619640539829,-0.862571932992471,0.0499998630113825,0.530505325222596
"s__reuteri",0.000621191888828562,0.00183657805318958,1.56237403885066,0.0527870006322246,0.530505325222596
"s__animalis",7.21724859655894e-05,0.000915698059005063,3.64707343977032,0.0580240199462214,0.530505325222596
"s__ruminis",0.00229704097802291,0.00103348116991872,-1.15149713907997,0.100348246462291,0.555767476491063
"s__onderdonkii",0.000559919781367484,0,-9.13165065169895,0.100348246462291,0.555767476491063
"s__schaedleri",0,0.000155965060586268,7.29429964998312,0.100348246462291,0.555767476491063
"s__copri",0.0103588999217526,0.00532047457930579,-0.961112089752069,0.118312716164607,0.555767476491063
"s__dispar",0.0266151577057339,0.00436689113840655,-2.60729351428014,0.13054070066071,0.555767476491063
"s__putredinis",0.00197296548856708,0.000426712700658976,-2.20638281406048,0.142213241936393,0.555767476491063
"s__C21_c20",0.000784505175545807,0.000309661463136634,-1.33827749174837,0.153576396549984,0.555767476491063
"s__mucosae",0.00251290786708342,0.00381987326494651,0.603970628554432,0.168166829372509,0.555767476491063
"s__bromii",0.00161375292831233,0.00325947033931945,1.01376665899881,0.170598771596629,0.555767476491063
"s__colinum",0.000452493005541202,0.00154838504193042,1.77254351218854,0.177529852412153,0.555767476491063
"s__pseudolongum",0,0.000227265140937906,7.83456674782239,0.18144920772142,0.555767476491063
"s__coprophilus",0.00222634045895835,0.000532344729433756,-2.06218186625552,0.18144920772142,0.555767476491063
"s__eutactus",0.00063192271629471,0,-9.30588553836151,0.18144920772142,0.555767476491063
"s__muciniphila",0.00534058560816169,0.00303173148980199,-0.816650287163597,0.193600969171221,0.555767476491063
"s__pullicaecorum",0.00169723411548816,0.000546951991374297,-1.63191395732972,0.197326044882155,0.555767476491063
"s__alactolyticus",0.000179154874834509,0.00135996114423218,2.91731628265883,0.201242620957724,0.555767476491063
"s__spiroforme",0.00164984096696073,0.000576566607313034,-1.51514190689956,0.208412803684149,0.555767476491063
