"genus","mean_rel_before","mean_rel_after","log2fc_rel","cliffs_delta","p","q"
"s__animalis",7.21724859655894e-05,0.000915698059005063,3.64707343977032,-0.239001189060642,0.0135920004859778,0.445908597897955
"s__caccae",0.00231265188368083,0.00032971026065737,-2.80653209765351,0.246135552913199,0.0192053012442119,0.445908597897955
"s__fragilis",0.00425550675814137,0.00128366371231518,-1.7282791678918,0.302021403091558,0.0277169745212841,0.445908597897955
"s__mucilaginosa",0.00585644588386671,0.00256483509512282,-1.19084326813714,0.315101070154578,0.0323437628026259,0.445908597897955
"s__onderdonkii",0.000559919781367484,0,-9.13165065169895,0.137931034482759,0.0418039310529333,0.445908597897955
"s__schaedleri",0,0.000155965060586268,7.29429964998312,-0.137931034482759,0.0418039310529333,0.445908597897955
"s__uniformis",0.00843070718054693,0.00463619640539829,-0.862571932992471,0.262782401902497,0.0674539402412858,0.521356222916444
"s__parvula",0.002127646797804,0.000415126294150402,-2.35484322882589,0.189060642092747,0.072506520057599,0.521356222916444
"s__pseudolongum",0,0.000227265140937906,7.83456674782239,-0.103448275862069,0.0814619098306944,0.521356222916444
"s__eutactus",0.00063192271629471,0,-9.30588553836151,0.103448275862069,0.0814619098306944,0.521356222916444
"s__perfringens",0.00158493650065263,0.000434982572991184,-1.86299263395124,0.13436385255648,0.0994425619824772,0.548425699824381
"s__bromii",0.00161375292831233,0.00325947033931945,1.01376665899881,-0.205707491082045,0.114707120965683,0.548425699824381
"s__muciniphila",0.00534058560816169,0.00303173148980199,-0.816650287163597,0.2294887039239,0.115405152680395,0.548425699824381
"s__reuteri",0.000621191888828562,0.00183657805318958,1.56237403885066,-0.174791914387634,0.119968121836583,0.548425699824381
"s__mucosae",0.00251290786708342,0.00381987326494651,0.603970628554432,-0.170035671819263,0.151484533572811,0.646334009910659
"s__anginosus",0.000903775075132256,0.000152398756426148,-2.56027239907404,0.103448275862069,0.16957544986411,0.67830179945644
"s__ramosum",0.00331284391129447,0.00433652456887311,0.388366279190929,-0.167657550535077,0.205860018651831,0.731226592493987
"s__colinum",0.000452493005541202,0.00154838504193042,1.77254351218854,-0.105826397146254,0.226566278259519,0.731226592493987
"s__maritima",0.000236938054591985,7.84091210263155e-05,-1.5832093957904,0.103448275862069,0.237297606366338,0.731226592493987
"s__producta",0.00963673019387815,0.00687271439907406,-0.487603504338258,-0.15576694411415,0.246557055153358,0.731226592493987
"s__spiroforme",0.00164984096696073,0.000576566607313034,-1.51514190689956,0.101070154577883,0.248383171291112,0.731226592493987
"s__dispar",0.0266151577057339,0.00436689113840655,-2.60729351428014,0.165279429250892,0.251359141169808,0.731226592493987
"s__alactolyticus",0.000179154874834509,0.00135996114423218,2.91731628265883,-0.0725326991676576,0.288243561159863,0.783279032428724
"s__C21_c20",0.000784505175545807,0.000309661463136634,-1.33827749174837,0.117717003567182,0.29662190727586,0.783279032428724
"s__hathewayi",0.000367363002779832,0.000140349361950208,-1.38186279808707,0.0677764565992867,0.321595835661139,0.783279032428724
"s__flavefaciens",4.12483306297572e-05,1.55903601685006e-05,-1.34854913007526,0.0677764565992867,0.321595835661139,0.783279032428724
"s__bifidum",0.00136040574259734,0.00250973721312976,0.88301393616925,-0.10820451843044,0.337808388596881,0.783279032428724
"s__ovatus",0.0110007250351645,0.00895135265824255,-0.297390977092597,0.131985731272295,0.352819821386121,0.783279032428724
"s__neonatale",0.00188610320297294,0.000907248022611911,-1.05501509922275,0.0891795481569559,0.361183863121244,0.783279032428724
"s__acidilactici",0.000564958667581165,0.00114242136064693,1.01458854628507,-0.0713436385255648,0.385442410310254,0.783279032428724
"s__parainfluenzae",0.0055888798349281,0.00532265499869909,-0.0704001900061639,-0.120095124851367,0.394005981195314,0.783279032428724
"s__longum",0.0177417966563964,0.0214008627632513,0.270502942421862,0.129607609988109,0.400166300732211,0.783279032428724
"s__pullicaecorum",0.00169723411548816,0.000546951991374297,-1.63191395732972,0.0915576694411415,0.403878251096061,0.783279032428724
"s__formicigenerans",0.00671127940010065,0.00558066256171032,-0.266107860323626,0.105826397146255,0.461054182989613,0.856850836095427
"s__lenta",0.00173029306803677,0.00140760493909674,-0.297582913937216,-0.0879904875148633,0.503194912885022,0.856850836095427
"s__salivarius",0.0014232768099854,0.000779786010446985,-0.86723045405675,-0.0582639714625446,0.533571179725977,0.856850836095427
"s__longicatena",0.00177281273470024,0.00201292738975247,0.183157960077576,-0.0760998810939358,0.55015038681439,0.856850836095427
"s__rhizosphaerae",0.000669709188351011,0.000386561552128676,-0.791261910393157,0.0630202140309155,0.567917814118911,0.856850836095427
"s__",0.412178457755283,0.442993597878168,0.104016500387838,-0.084423305588585,0.586238212174171,0.856850836095427
"s__yabuuchiae",0.00103141233901237,0.00093289546987299,-0.144686304754754,-0.0725326991676576,0.587710783075545,0.856850836095427
"s__copri",0.0103588999217526,0.00532047457930579,-0.961112089752069,0.070154577883472,0.588819617126161,0.856850836095427
