"genus","mean_rel"
"s__",0.393003997936463
"__",0.280490136590872
"s__adolescentis",0.0584674235940583
"s__prausnitzii",0.0418914989302065
"s__copri",0.0244897704283675
"s__gnavus",0.0215021958529045
"s__muciniphila",0.0151586197118742
"s__longum",0.0149398354491922
"s__dispar",0.011237503571969
"s__formicilis",0.0105097680901225
"s__ovatus",0.00906680730137264
"s__aerofaciens",0.0080935244279404
"s__parainfluenzae",0.00705911211430659
"s__uniformis",0.00662609744024149
"s__formicigenerans",0.00624937155512252
"s__distasonis",0.00587469592294326
"s__bromii",0.00560055479848031
"s__plebeius",0.00524598814249453
"s__helveticus",0.00513894589753844
"s__producta",0.00452686653606458
"s__mucilaginosa",0.00388491321255554
"s__viridiflava",0.00388107442085366
"s__fragilis",0.00324820419179995
"s__ramosum",0.00267379757872104
"s__palleronii",0.00258803814675403
"s__putredinis",0.0025859443692241
"s__biforme",0.00241759025819153
"s__D168",0.00201371269321641
"s__obeum",0.00199232729005669
"s__caccae",0.00168548187648889
"s__mucosae",0.00166033130112161
"s__citroniae",0.00165292041427266
"s__parvula",0.0015888165264947
"s__torques",0.00158861268676723
"s__longicatena",0.00155026412981953
"s__bifidum",0.00130489408865487
"s__reuteri",0.00117819809345098
"s__lenta",0.00114885510500865
"s__yabuuchiae",0.00114109267722486
"s__eutactus",0.00112402200908098
