feature,Estimate_group,pvalue,fdr,fold_change,log2FC,method,vs
0610005C13Rik,Group,0.2201,0.489,1.687,0.7544,DESeq2,DMSO vs T4400
0610007P14Rik,Group,0.9586,0.9808,0.9973,-0.004,DESeq2,DMSO vs T4400
0610009B22Rik,Group,0.4226,0.6855,1.0416,0.0588,DESeq2,DMSO vs T4400
0610009L18Rik,Group,0.1539,0.3954,1.3403,0.4225,DESeq2,DMSO vs T4400
0610009O20Rik,Group,0.1232,0.3457,0.9276,-0.1085,DESeq2,DMSO vs T4400
0610010F05Rik,Group,0.2426,0.5177,1.1307,0.1772,DESeq2,DMSO vs T4400
0610010K14Rik,Group,0.2704,0.5483,0.9447,-0.0821,DESeq2,DMSO vs T4400
0610011F06Rik,Group,0.109,0.3218,0.8954,-0.1595,DESeq2,DMSO vs T4400
0610012G03Rik,Group,0.6774,0.8543,1.0288,0.0409,DESeq2,DMSO vs T4400
0610030E20Rik,Group,0.9701,0.9852,1.0025,0.0035,DESeq2,DMSO vs T4400
0610037L13Rik,Group,0.1142,0.331,0.9095,-0.1369,DESeq2,DMSO vs T4400
0610038B21Rik,Group,0.6074,0.8149,1.1786,0.2371,DESeq2,DMSO vs T4400
0610039K10Rik,Group,0.3651,0.636,0.3705,-1.4326,DESeq2,DMSO vs T4400
0610040B10Rik,Group,0.9755,0.9881,0.9912,-0.0127,DESeq2,DMSO vs T4400
0610040F04Rik,Group,0.4318,0.6913,0.3275,-1.6104,DESeq2,DMSO vs T4400
0610040J01Rik,Group,0.1716,0.4226,4.9407,2.3047,DESeq2,DMSO vs T4400
0610043K17Rik,Group,0.2207,0.4899,2.4212,1.2757,DESeq2,DMSO vs T4400
1010001N08Rik,Group,0.2824,0.5604,0.3536,-1.4998,DESeq2,DMSO vs T4400
1110001J03Rik,Group,0.0401,0.1745,0.8169,-0.2918,DESeq2,DMSO vs T4400
1110002L01Rik,Group,0.7203,0.8758,0.9549,-0.0665,DESeq2,DMSO vs T4400
1110004E09Rik,Group,0.546,0.7722,1.0565,0.0793,DESeq2,DMSO vs T4400
1110004F10Rik,Group,0.0632,0.2318,0.8875,-0.1721,DESeq2,DMSO vs T4400
1110006O24Rik,Group,0.8705,0.9507,1.0587,0.0823,DESeq2,DMSO vs T4400
1110007C09Rik,Group,0.0249,0.1284,1.1809,0.2398,DESeq2,DMSO vs T4400
1110008F13Rik,Group,0.746,0.8899,1.0253,0.036,DESeq2,DMSO vs T4400
1110008L16Rik,Group,0.55,0.7749,1.0287,0.0408,DESeq2,DMSO vs T4400
1110008P14Rik,Group,0.3859,0.6551,1.064,0.0895,DESeq2,DMSO vs T4400
1110012L19Rik,Group,0.5343,0.7637,1.0609,0.0852,DESeq2,DMSO vs T4400
1110017D15Rik,Group,0.3327,0.6094,1.694,0.7604,DESeq2,DMSO vs T4400
1110019D14Rik,Group,0.6936,0.8608,1.0611,0.0855,DESeq2,DMSO vs T4400
1110020A21Rik,Group,0.5643,0.7851,1.2098,0.2748,DESeq2,DMSO vs T4400
1110032A03Rik,Group,0.7033,0.8665,0.9719,-0.0411,DESeq2,DMSO vs T4400
1110034G24Rik,Group,0.0481,0.1961,1.2015,0.2648,DESeq2,DMSO vs T4400
1110037F02Rik,Group,0.7464,0.8901,1.0185,0.0264,DESeq2,DMSO vs T4400
1110038B12Rik,Group,0.0284,0.1399,1.1905,0.2516,DESeq2,DMSO vs T4400
1110038F14Rik,Group,0.4329,0.6922,0.9621,-0.0557,DESeq2,DMSO vs T4400
1110046J04Rik,Group,0.6691,0.8498,0.9605,-0.0582,DESeq2,DMSO vs T4400
1110051M20Rik,Group,0.348,0.624,0.9568,-0.0637,DESeq2,DMSO vs T4400
1110059E24Rik,Group,0.1251,0.3492,0.9072,-0.1405,DESeq2,DMSO vs T4400
1110059G10Rik,Group,0.2317,0.5035,1.1039,0.1426,DESeq2,DMSO vs T4400
1110065P20Rik,Group,0.0723,0.2511,0.8561,-0.2242,DESeq2,DMSO vs T4400
1190002F15Rik,Group,0.0006,0.0125,0.6019,-0.7324,DESeq2,DMSO vs T4400
1190002N15Rik,Group,0.9045,0.9623,0.988,-0.0174,DESeq2,DMSO vs T4400
1190005I06Rik,Group,0.4406,0.6975,0.6563,-0.6075,DESeq2,DMSO vs T4400
1190007I07Rik,Group,0.826,0.9353,1.0302,0.043,DESeq2,DMSO vs T4400
1200014J11Rik,Group,0.8567,0.9473,0.9909,-0.0132,DESeq2,DMSO vs T4400
1300002E11Rik,Group,0.0018,0.0244,1.3322,0.4138,DESeq2,DMSO vs T4400
1300017J02Rik,Group,0.7102,0.8711,1.3033,0.3821,DESeq2,DMSO vs T4400
1500004A13Rik,Group,0.7609,0.8977,1.039,0.0552,DESeq2,DMSO vs T4400
1500009C09Rik,Group,0.6591,0.8458,1.7135,0.7769,DESeq2,DMSO vs T4400
1500009L16Rik,Group,0.0859,0.2784,0.6513,-0.6186,DESeq2,DMSO vs T4400
1500011B03Rik,Group,0.1341,0.3643,1.2132,0.2788,DESeq2,DMSO vs T4400
1500011K16Rik,Group,0.9758,0.9881,0.9972,-0.0041,DESeq2,DMSO vs T4400
1500012F01Rik,Group,0.1763,0.4302,1.126,0.1712,DESeq2,DMSO vs T4400
1500012K07Rik,Group,0.2521,0.5284,2.5663,1.3597,DESeq2,DMSO vs T4400
1500015A07Rik,Group,0.5455,0.7718,1.2068,0.2712,DESeq2,DMSO vs T4400
1500015O10Rik,Group,0.0063,0.0527,0.3932,-1.3465,DESeq2,DMSO vs T4400
1500017E21Rik,Group,0.0602,0.2244,1.3492,0.4321,DESeq2,DMSO vs T4400
1500026H17Rik,Group,0.8132,0.9293,1.2621,0.3359,DESeq2,DMSO vs T4400
1600002D24Rik,Group,0.6823,0.8552,0.4926,-1.0216,DESeq2,DMSO vs T4400
1600002H07Rik,Group,0.3656,0.6365,0.9363,-0.0949,DESeq2,DMSO vs T4400
1600002K03Rik,Group,0.3371,0.6134,1.0921,0.1271,DESeq2,DMSO vs T4400
1600012H06Rik,Group,0.1521,0.3923,1.0683,0.0953,DESeq2,DMSO vs T4400
1600014C10Rik,Group,0.2156,0.483,1.1042,0.143,DESeq2,DMSO vs T4400
1600014C23Rik,Group,0.2849,0.5629,2.5331,1.3409,DESeq2,DMSO vs T4400
1600020E01Rik,Group,0.8314,0.938,1.0251,0.0358,DESeq2,DMSO vs T4400
1600023N17Rik,Group,0.5863,0.8018,0.6762,-0.5645,DESeq2,DMSO vs T4400
1600025M17Rik,Group,0.9314,0.9722,0.8608,-0.2162,DESeq2,DMSO vs T4400
